¿°»ö»öÂ÷ DL,¿°»ö»öÂ÷ DA,¿°»ö»öÂ÷ DB,¿°»ö»öÂ÷ DC,¿°»ö»öÂ÷ DH,¿°»ö»öÂ÷ DE
0.1860275,-0.08124113,0.1513243,-0.1675768,-0.03764534,0.2531904
0.7229919,0.2772808,0.458312,-0.1626816,-0.510362,0.8998066
-0.07276154,-1.44808,0.2761669,0.3467255,-1.432824,1.475974
0.6633987,0.1088083,-0.3394365,-0.3133838,-0.169844,0.7530965
-1.530785,-0.5820096,1.17501,0.17213,-1.299906,2.01561
-0.2734013,0.07410347,0.5841076,-0.1149316,0.5774633,0.6491697
1.502844,0.1184195,1.011306,0.1742632,1.003193,1.815297
2.857704,-2.696127,0.5537391,2.738521,0.276102,3.967644
-1.482445,0.4511178,-0.7150888,-0.2359827,0.8118937,1.706605
1.514488,-0.217855,0.1982212,-0.2375984,-0.1740673,1.542863
1.466454,-0.1225173,0.1263027,-0.1483974,-0.09455811,1.476973
1.258324,-0.06428361,0.337327,-0.3433428,0.006135001,1.304339
1.469902,-0.08103251,-0.06500435,0.04733753,-0.09247217,1.473568
1.475327,-0.09459257,0.1330147,-0.1494074,-0.06571177,1.484328
0.1927624,-0.1184344,-0.2041936,0.1714771,-0.1622262,0.3047607
0.5949707,0.105381,0.5812883,-0.5183086,0.2834739,0.8384458
-3.911947,-0.1427531,-0.3320515,0.2289505,-0.2796752,3.928609
1.37648,-0.2281517,1.374972,-1.2399,0.6365915,1.958902
-4.318741,-1.65385,-2.489603,-2.642357,1.396887,5.25213
-2.443642,-1.660913,-1.795174,-1.94916,1.477179,3.457263
0.371172,-0.2980232,0.7962766,-0.84795,-0.06208916,0.9277084
2.986458,0.1205802,1.066265,1.062662,0.1490244,3.173388
-0.08876038,-1.513303,0.8058777,-1.157604,-1.264704,1.7168
-1.16452,-0.05489588,0.3212214,-0.2699156,-0.1825989,1.209258
-0.8003044,-0.8279977,0.6462097,-0.7975502,-0.6834332,1.320475
-2.530872,-0.007838011,0.2177477,-0.1926551,-0.1017823,2.540234
-2.988918,0.07647276,0.4604816,-0.4476366,-0.132337,3.025149
-2.1992,-0.3701448,0.3218651,-0.1178126,-0.4761559,2.253238
0.7667809,0.2259612,0.1486063,-0.244401,0.1158038,0.8130776
4.479498,0.8729845,-2.707261,2.655405,1.019897,5.306342
3.779076,0.09807944,0.5007505,-0.3559073,-0.3656512,3.813369
-1.214642,-0.5316434,0.5539665,-0.6500244,-0.4086462,1.436968
-3.549353,-0.197351,-0.8678198,0.7015147,-0.5476635,3.65923
-2.08697,-0.3912598,0.4070461,-0.5444682,-0.1494161,2.161994
-3.595646,-0.1927018,-0.4520595,0.3179734,-0.3746798,3.629072
-0.01180267,-0.1236945,0.762862,-0.7069862,0.3121367,0.7729153
1.142185,-0.4542023,0.9333253,-1.034153,0.08901922,1.543367
1.042496,-0.5930662,1.300651,-1.417537,0.1844172,1.769242
1.372433,-0.4713386,1.245117,-1.301418,0.2806908,1.91208
-3.965459,-0.1481549,-0.8663476,0.7179177,-0.5070514,4.061696
3.312345,-0.2898872,1.642534,-1.599719,0.4720729,3.708582
1.628677,0.05309284,-0.2260923,0.2212554,-0.07058808,1.645152
-0.5997238,-0.09900331,-0.9215717,0.9166136,-0.1375346,1.103977
-1.011723,-0.4586582,-0.07308578,0.1771545,-0.429331,1.113235
0.2944603,-0.1229353,-0.2686043,0.2953568,-0.005073698,0.417095
0.08790588,-0.00551343,-0.00295639,0.001826286,-0.005983547,0.08812822
